Date,Open,High,Low,Close,Volume
04-03-2019,359.72,362.25,348.04,351.04,"74,86,996"
05-03-2019,351.46,356.17,348.25,354.3,"59,37,754"
06-03-2019,353.6,359.88,351.7,359.61,"62,11,895"
07-03-2019,360.16,362.86,350.5,352.6,"61,51,331"
08-03-2019,345.75,349.92,342.47,349.6,"68,98,838"
11-03-2019,352,358.98,350.03,358.86,"53,87,285"
12-03-2019,359.37,360.13,353.8,356.27,"51,64,571"
13-03-2019,355.81,362.48,352.77,361.21,"64,44,092"
14-03-2019,360.5,363.84,358.1,358.82,"52,71,429"
15-03-2019,361.02,364,358.89,361.46,"84,43,210"
18-03-2019,362.47,370.97,361.86,363.44,"71,94,726"
19-03-2019,366.4,366.96,356.8,358.78,"75,41,425"
20-03-2019,358.91,375.9,357.01,375.22,"1,09,17,170"
21-03-2019,374,379,370.61,377.87,"85,44,017"
22-03-2019,375.95,376.43,360.04,361.01,"86,61,346"
25-03-2019,359,367.04,357.44,366.23,"84,73,845"
26-03-2019,367.87,368.38,358.02,359.97,"76,66,475"
27-03-2019,361,362.47,350.37,353.37,"78,52,370"
28-03-2019,354.49,355.94,349.2,354.61,"43,60,960"
29-03-2019,357.16,358.25,353.71,356.56,"47,05,636"
01-04-2019,359,368.33,358.51,366.96,"70,36,097"
02-04-2019,366.25,368.42,362.22,367.72,"51,58,742"
03-04-2019,369.26,373.41,366.19,369.75,"53,76,623"
04-04-2019,370.07,372.05,362.4,367.88,"46,27,305"
05-04-2019,369,369.8,364.66,365.49,"39,05,493"
08-04-2019,365.11,365.94,359.93,361.41,"46,53,810"
09-04-2019,360.54,366.74,359,364.71,"54,39,228"
10-04-2019,365.79,368.85,362.25,363.92,"45,45,561"
11-04-2019,365,370.12,360.81,367.65,"65,26,899"
12-04-2019,360.69,361.75,349.36,351.14,"1,56,46,200"
15-04-2019,350.71,352.21,342.27,348.87,"88,42,344"
16-04-2019,355,364.48,352.72,359.46,"1,87,40,230"
17-04-2019,365.05,368.76,350.6,354.74,"1,80,54,100"
18-04-2019,355,360.41,351.64,360.35,"83,53,165"
22-04-2019,359.7,377.69,359,377.34,"1,19,80,530"
23-04-2019,375.45,384.8,374.71,381.89,"1,00,89,820"
24-04-2019,381.07,381.9,373.27,374.23,"65,41,872"
25-04-2019,374.49,374.76,365.7,368.33,"62,55,496"
26-04-2019,368.35,375.14,366.24,374.85,"56,21,901"
29-04-2019,373.68,374.58,369.12,371.83,"38,21,703"
30-04-2019,369.56,374.5,368.35,370.54,"38,70,095"
01-05-2019,374,385.99,373.17,378.81,"92,57,284"
02-05-2019,378,383.5,374.51,379.06,"53,98,167"
03-05-2019,381.53,385.03,378.27,385.03,"51,30,301"
06-05-2019,377.69,381.35,376,378.67,"57,93,144"
07-05-2019,377,379.91,365.81,370.46,"69,74,924"
08-05-2019,367.92,369,361.36,364.37,"65,71,957"
09-05-2019,360.9,364.2,352.75,362.75,"58,82,572"
10-05-2019,361.62,365.26,353.06,361.04,"56,57,123"
13-05-2019,352.29,354.26,343.1,345.26,"80,26,697"
14-05-2019,348.71,349.95,342.5,345.61,"53,53,029"
15-05-2019,343.34,356.5,341.39,354.99,"63,40,118"
16-05-2019,356.37,364,353.94,359.31,"64,41,463"
17-05-2019,356.39,359.62,353.79,354.45,"47,25,448"
20-05-2019,351.23,352.42,345.4,348.11,"46,21,515"
21-05-2019,350.95,356.43,349.93,354.27,"40,26,369"
22-05-2019,358.01,370.46,357.3,359.73,"62,29,389"
23-05-2019,355.5,357.42,347.7,352.21,"56,30,443"
24-05-2019,355.41,359.44,353.79,354.39,"38,30,963"
28-05-2019,354.39,361.2,353.64,354.78,"47,17,144"
29-05-2019,353.6,353.85,345.9,349.19,"56,58,913"
30-05-2019,350.55,354.21,348.3,351.85,"40,08,042"
31-05-2019,347.22,349.34,342.92,343.28,"50,23,449"
03-06-2019,343.56,347.66,332.65,336.63,"78,49,589"
04-06-2019,345,353.61,343.25,353.4,"78,91,632"
05-06-2019,354.38,357.88,348.71,355.73,"50,20,081"
06-06-2019,354.84,358.21,352.09,357.13,"37,09,955"
07-06-2019,357.39,365.15,355.69,360.87,"47,77,321"
10-06-2019,363.65,367.1,349.29,352.01,"78,10,261"
11-06-2019,355,357.58,348.5,351.27,"53,96,712"
12-06-2019,351.82,353.61,343.23,345.56,"45,84,704"
13-06-2019,347.23,348.5,339.25,343.43,"62,09,347"
